long_east_deg,lat_north_deg,altitude_m,radius_m
354.55096,-1.6929,-1436.6,3394104.43
354.5503,-1.6979,-1436.43,3394104.49
354.54964,-1.703,-1435.97,3394104.85
354.54898,-1.7081,-1436.53,3394104.19
354.54833,-1.7132,-1437.49,3394103.12
354.54767,-1.7182,-1435.23,3394105.28
354.54701,-1.7233,-1432.72,3394107.69
354.54635,-1.7284,-1432.2,3394108.1
354.54569,-1.7335,-1431.35,3394108.85
354.54503,-1.7385,-1427.14,3394112.96
354.54438,-1.7436,-1424.82,3394115.17
354.54372,-1.7487,-1423.86,3394116.02
354.54306,-1.7538,-1423.05,3394116.72
354.5424,-1.7588,-1421.76,3394117.91
354.54174,-1.7639,-1420.84,3394118.72
354.54108,-1.769,-1420.33,3394119.12
354.54043,-1.7741,-1418.29,3394121.05
354.53977,-1.7791,-1417.43,3394121.8
354.53911,-1.7842,-1416.56,3394122.56
354.53845,-1.7893,-1414.53,3394124.48
354.53779,-1.7944,-1413.33,3394125.58
354.53714,-1.7994,-1410.91,3394127.89
354.53648,-1.8045,-1409.7,3394128.99
354.53582,-1.8096,-1408.36,3394130.22
354.53516,-1.8147,-1408.23,3394130.24
354.5345,-1.8198,-1406.67,3394131.69
354.53384,-1.8248,-1406.5,3394131.75
354.53319,-1.8299,-1406.07,3394132.08
354.53253,-1.835,-1405.56,3394132.48
354.53187,-1.8401,-1404.74,3394133.19
354.53122,-1.8452,-1403.33,3394134.48
354.53056,-1.8503,-1402.18,3394135.52
354.52991,-1.8554,-1401.66,3394135.92
354.52925,-1.8605,-1401.53,3394135.94
354.5286,-1.8656,-1401.37,3394135.99
354.52794,-1.8707,-1399.32,3394137.92
354.52728,-1.8758,-1398.13,3394139.0
354.52663,-1.8809,-1397.61,3394139.4
354.52597,-1.8859,-1398.08,3394138.82
354.52532,-1.891,-1398.1,3394138.69
354.52466,-1.8961,-1396.35,3394140.32
354.52401,-1.9012,-1395.14,3394141.42
354.52335,-1.9063,-1393.1,3394143.34
354.52269,-1.9114,-1391.18,3394145.15
354.52204,-1.9165,-1389.12,3394147.1
354.52138,-1.9216,-1386.76,3394149.34
354.52073,-1.9267,-1385.16,3394150.83
354.52007,-1.9318,-1381.98,3394153.89
354.51942,-1.9369,-1381.85,3394153.91
354.51876,-1.942,-1383.22,3394152.43
354.51811,-1.9471,-1384.61,3394150.92
354.5168,-1.9573,-1386.6,3394148.69
354.51614,-1.9624,-1385.66,3394149.51
354.51548,-1.9675,-1386.61,3394148.44
354.51483,-1.9726,-1386.88,3394148.06
354.51417,-1.9777,-1387.44,3394147.38
354.51351,-1.9828,-1387.58,3394147.12
354.51286,-1.9878,-1389.06,3394145.52
354.5122,-1.9929,-1387.74,3394146.72
354.51155,-1.998,-1386.52,3394147.82
354.51089,-2.0031,-1385.2,3394149.02
354.51023,-2.0082,-1383.5,3394150.6
354.50958,-2.0133,-1381.19,3394152.79
354.50892,-2.0184,-1380.67,3394153.19
354.50826,-2.0235,-1380.22,3394153.53
354.50761,-2.0286,-1379.7,3394153.93
354.5063,-2.0388,-1379.77,3394153.62
354.50564,-2.0439,-1380.71,3394152.56
354.50431,-2.0541,-1426.57,3394106.45
354.50298,-2.0643,-1383.11,3394149.66
354.50232,-2.0693,-1385.63,3394147.01
354.50166,-2.0744,-1385.98,3394146.54
354.501,-2.0795,-1385.35,3394147.05
354.50034,-2.0846,-1381.36,3394150.91
354.49968,-2.0897,-1376.91,3394155.24
354.49901,-2.0948,-1376.26,3394155.76
354.49835,-2.0999,-1377.71,3394154.19
354.49769,-2.105,-1378.61,3394153.16
354.49703,-2.1101,-1379.32,3394152.33
354.49637,-2.1152,-1378.68,3394152.84
354.4957,-2.1203,-1378.97,3394152.43
354.49504,-2.1254,-1379.87,3394151.41
354.49438,-2.1304,-1381.4,3394149.75
354.49372,-2.1355,-1382.35,3394148.68
354.49306,-2.1406,-1381.82,3394149.08
354.4924,-2.1457,-1382.38,3394148.4
354.49173,-2.1508,-1383.32,3394147.33
354.49107,-2.1559,-1385.11,3394145.41
354.49041,-2.161,-1386.89,3394143.5
354.48975,-2.1661,-1388.12,3394142.14
354.48908,-2.1712,-1391.26,3394138.87
354.48842,-2.1763,-1394.2,3394135.8
