long_east_deg,lat_north_deg,altitude_m,radius_m
137.85067,-4.8103,-1569.19,3394047.21
137.85001,-4.8154,-1491.51,3394124.58
137.84934,-4.8205,-1415.8,3394199.99
137.84868,-4.8256,-1340.77,3394274.71
137.84801,-4.8307,-1265.82,3394349.35
137.84735,-4.8358,-1179.11,3394435.75
137.84669,-4.8409,-1104.57,3394509.98
137.84602,-4.846,-1021.34,3394592.9
137.84536,-4.8511,-926.43,3394687.5
137.84469,-4.8562,-839.1,3394774.54
137.84403,-4.8613,-756.65,3394856.68
137.84336,-4.8664,-670.94,3394942.08
137.8427,-4.8715,-581.36,3395031.35
137.84204,-4.8766,-504.47,3395107.93
137.84137,-4.8817,-427.28,3395184.82
137.84071,-4.8868,-350.8,3395260.99
137.84004,-4.8919,-264.58,3395346.9
137.83938,-4.897,-178.29,3395432.88
137.83871,-4.9021,-105.62,3395505.24
137.83805,-4.9072,-28.29,3395582.28
137.83738,-4.9123,51.29,3395661.55
137.83672,-4.9174,123.95,3395733.9
137.83606,-4.9225,189.62,3395799.26
137.83539,-4.9276,236.55,3395845.88
137.83475,-4.9327,255.0,3395864.01
137.8341,-4.9378,290.31,3395899.01
137.83345,-4.9429,317.23,3395925.62
137.83279,-4.948,338.68,3395946.76
137.83214,-4.9531,358.28,3395966.05
137.83148,-4.9582,372.84,3395980.31
137.83083,-4.9633,385.79,3395992.95
137.83018,-4.9684,402.39,3396009.24
137.82952,-4.9735,415.07,3396021.61
137.82887,-4.9785,425.69,3396031.92
137.82822,-4.9836,421.93,3396027.85
137.82756,-4.9887,401.85,3396007.46
137.82691,-4.9938,407.77,3396013.08
137.82625,-4.9989,389.88,3395994.87
137.8256,-5.004,385.16,3395989.84
137.82495,-5.0091,369.08,3395973.46
137.82429,-5.0142,331.69,3395935.76
137.82364,-5.0193,302.36,3395906.13
137.82299,-5.0244,277.06,3395880.52
137.82233,-5.0294,244.8,3395847.94
137.82103,-5.0396,198.94,3395801.47
137.82037,-5.0447,190.77,3395792.98
137.81972,-5.0498,166.38,3395768.28
137.81906,-5.0549,155.29,3395756.88
137.81841,-5.06,140.01,3395741.29
137.81776,-5.0651,120.09,3395721.05
137.8171,-5.0702,109.0,3395709.66
137.81645,-5.0753,92.17,3395692.52
137.81579,-5.0804,86.45,3395686.49
137.81514,-5.0854,68.93,3395668.65
137.37258,-4.0904,-2658.18,3393006.63
137.37192,-4.0954,-2669.06,3392995.47
137.37126,-4.1005,-2676.73,3392987.52
137.37061,-4.1056,-2674.88,3392989.08
137.36995,-4.1107,-2691.2,3392972.48
137.36929,-4.1158,-2648.02,3393015.38
137.36863,-4.1209,-2637.65,3393025.47
137.36731,-4.1311,-2721.41,3392941.14
137.36666,-4.1362,-2798.55,3392863.72
137.366,-4.1413,-2858.09,3392803.9
137.36536,-4.1464,-2876.8,3392784.9
137.36469,-4.1515,-2874.14,3392787.27
137.36403,-4.1566,-2857.48,3392803.64
137.36337,-4.1617,-2932.38,3392728.46
137.36271,-4.1668,-2990.14,3392670.41
137.36205,-4.1719,-2987.77,3392672.5
137.36138,-4.1769,-2973.39,3392686.59
137.36072,-4.182,-2954.26,3392705.43
137.36006,-4.1871,-2958.42,3392700.99
137.3594,-4.1922,-3039.64,3392619.48
137.35874,-4.1973,-3068.41,3392590.43
137.35808,-4.2024,-3101.39,3392557.16
137.35741,-4.2075,-3119.89,3392538.38
137.35675,-4.2126,-3223.76,3392434.22
137.3561,-4.2177,-3361.17,3392296.52
137.35544,-4.2228,-3533.05,3392124.36
137.35478,-4.2279,-3655.76,3392001.36
137.35412,-4.233,-3745.27,3391911.57
137.35346,-4.2381,-3824.56,3391831.99
137.3528,-4.2432,-3896.43,3391759.83
137.35212,-4.2483,-3944.33,3391711.65
137.35145,-4.2534,-3960.46,3391695.23
137.35079,-4.2585,-3976.78,3391678.62
137.35012,-4.2636,-3995.9,3391659.21
137.34946,-4.2687,-4009.33,3391645.49
137.34879,-4.2738,-4023.1,3391631.43
137.34813,-4.2788,-4033.94,3391620.3
137.34746,-4.2839,-4025.22,3391628.73
137.3468,-4.289,-3989.16,3391664.5
137.34613,-4.2941,-3896.59,3391756.78
137.34546,-4.2992,-3851.97,3391801.12
137.3448,-4.3043,-3960.14,3391692.66
137.34413,-4.3094,-4055.64,3391596.87
137.34347,-4.3145,-4065.08,3391587.14
137.3428,-4.3196,-4048.07,3391603.86
137.34214,-4.3247,-4110.12,3391541.52
137.34147,-4.3298,-4162.26,3391489.09
137.34081,-4.3349,-4185.39,3391465.67
137.34014,-4.34,-4199.94,3391450.83
137.33948,-4.3451,-4214.84,3391435.64
137.33813,-4.3553,-4231.14,3391418.75
137.33747,-4.3604,-4236.1,3391413.5
137.33681,-4.3655,-4248.03,3391401.28
137.33615,-4.3706,-4253.94,3391395.08
137.33548,-4.3757,-4263.2,3391385.52
137.33482,-4.3808,-4272.46,3391375.97
137.33416,-4.3859,-4277.32,3391370.82
137.3335,-4.391,-4281.03,3391366.82
137.33284,-4.3961,-4291.92,3391355.64
137.33217,-4.4012,-4304.42,3391342.84
137.33151,-4.4063,-4319.43,3391327.54
